タイムスタンプ	商品名	商品URL	商品画像URL	価格	カテゴリ	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [シンプル]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [かわいい]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [実用的・便利]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [かっこいい]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [小さい/大きい]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [ファビュラス]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [子供っぽい/大人っぽい]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [キラキラ]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [おもしろ]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [軽い/重い]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [和風]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [モダン/レトロ]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [流行りの]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [女性向け/男性向け]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [高級]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [デザイン重視]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [使い心地重視]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [ユニーク]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [手作り]
2024/03/16 18:24:16	スタイレム瀧定大阪(Stylem Takisada-Osaka) サクラクレパス クレパス タオル 3点 セット (ウォッシュ×1・ハンカチ×2) 綿100% ギフト プレゼント 出産祝い 内祝い 保育園 幼稚園 入園祝い かわいい リバーシブル CR1710	https://www.amazon.co.jp/%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AC%E3%83%A0%E7%80%A7%E5%AE%9A%E5%A4%A7%E9%98%AA-Stylem-Takisada-Osaka-%E3%82%A6%E3%82%A9%E3%83%83%E3%82%B7%E3%83%A5%C3%971%E3%83%BB%E3%83%8F%E3%83%B3%E3%82%AB%E3%83%81%C3%972-CR1710/dp/B01N4Q3FBJ/ref=sr_1_45?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=3DMRW5165EN2Q&dib=eyJ2IjoiMSJ9.rF6iEcpRxX-Ds4BqxO8mmyl1axiZy2ZNsC6zohBcWJvmtdk_LFcKV0TxDMzi8I-tK0lJ7TMBO1xMkF3Ru5-zewMPBY7P4MHehlgR5f44FWXiS1YuqK8xMwep9lrfmx6KUr_g-o_a3H6vEGl1krsV-pwgdO6-qSIX0MfZ_SunuET11wTsL3duWU8NQB0bymqtenP9Qt1OdJhQAml-axPxINudg-dVuWFh-2Bt2njsfq_ddc70DKnhj0J0763dNkGhrekPfwRRKfz94U7eInoH01jS5OtlIad0jkiUzvdVeXs.x3Hyy0eaXxB_GXUY5T0HrgNbaEAEjo2iK-Gcws88fJU&dib_tag=se&keywords=%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88&qid=1710567434&sprefix=%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%2Caps%2C165&sr=8-45&th=1	https://m.media-amazon.com/images/I/810ABxYgtDL._AC_SY879_.jpg	1100	趣味・ライフスタイル雑貨	2	4	4	1	4	1	1	1	4	2	1	4	2	3	2	5	4	5	5
2024/03/16 18:42:54	ナイトライト ベッドサイドランプ アヒル LEDライト 授乳ライト タイマ設定 かわいい 調光 テーブルランプ 夜間ライト プレゼント 枕元 USB 充電 安全ABS+シリコン製 間接照明 電球色 出産祝い	https://www.amazon.co.jp/%E3%83%8A%E3%82%A4%E3%83%88%E3%83%A9%E3%82%A4%E3%83%88-%E3%83%99%E3%83%83%E3%83%89%E3%82%B5%E3%82%A4%E3%83%89%E3%83%A9%E3%83%B3%E3%83%97-FULLOSUN-LED%E3%83%A9%E3%82%A4%E3%83%88-%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB%E3%83%A9%E3%83%B3%E3%83%97/dp/B08T6D2724/ref=pd_ci_mcx_mh_mcx_views_0?pd_rd_w=bfOPr&content-id=amzn1.sym.b7ff8ae3-d3eb-4b00-a35f-7c651f284b6c%3Aamzn1.symc.409c7fce-cbd2-4cf4-a6cb-824c258c8778&pf_rd_p=b7ff8ae3-d3eb-4b00-a35f-7c651f284b6c&pf_rd_r=FPNKJW77NYX01H9Y837M&pd_rd_wg=ApqQQ&pd_rd_r=0b9ee8c3-48bb-4ddf-8c89-0e0c7d6fe6fb&pd_rd_i=B08T6D2724	https://m.media-amazon.com/images/I/618WOhiPV0L.__AC_SY445_SX342_QL70_ML2_.jpg	2299	趣味・ライフスタイル雑貨	2	5	4	1	2	1	1	4	5	3	1	1	2	2	1	4	2	5	1
2024/03/16 18:45:57	ロクシタン(L'OCCITANE) シア モイスチャ―セット(ハンドクリーム シアバター ソープ) ギフト BOX入り ギフト 誕生日 人気 女性 男性 送別 プレゼント 母の日	https://www.amazon.co.jp/%E3%83%AD%E3%82%AF%E3%82%B7%E3%82%BF%E3%83%B3-LOCCITANE-%E3%83%A2%E3%82%A4%E3%82%B9%E3%83%81%E3%83%A3%E2%80%95%E3%82%AE%E3%83%95%E3%83%88%E3%82%BB%E3%83%83%E3%83%88-%E3%83%8F%E3%83%B3%E3%83%89%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0%E3%80%81%E3%82%B7%E3%82%A2%E3%83%90%E3%82%BF%E3%83%BC%E3%80%81%E3%82%BD%E3%83%BC%E3%83%97-BOX%E5%85%A5%E3%82%8A/dp/B09MMKZTKX/ref=pd_ci_mcx_mh_mcx_ac_nb_1?pd_rd_w=30TrH&content-id=amzn1.sym.012468e6-cb83-4203-960b-c849285fe9b2&pf_rd_p=012468e6-cb83-4203-960b-c849285fe9b2&pf_rd_r=BY57M9HBDTYBG31AVCWV&pd_rd_wg=gbYLX&pd_rd_r=2096ee58-8e37-4fd6-b12b-0ac92f70085f&pd_rd_i=B09MMKZTKX	https://m.media-amazon.com/images/I/61qjP2IhNgL._AC_SX522_.jpg	4400	コスメ・ビューティー	2	3	5	1	1	1	4	1	1	1	1	3	4	2	4	2	4	2	1
2024/03/16 18:49:12	スターバックス プレミアム ミックス ギフト SBP-30A	https://www.amazon.co.jp/%E3%83%8D%E3%82%B9%E3%83%AC-%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%90%E3%83%83%E3%82%AF%E3%82%B9-%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0-%E3%83%9F%E3%83%83%E3%82%AF%E3%82%B9-SBP-30A/dp/B0B8LQJYWT/ref=pd_rhf_dp_s_cbes_configrecs_cart_rhf_d_sccl_2_3/355-3697214-4072626?pd_rd_w=lHkgr&content-id=amzn1.sym.5b566f37-06b3-4d67-8ff2-c2b5abbff90a&pf_rd_p=5b566f37-06b3-4d67-8ff2-c2b5abbff90a&pf_rd_r=HTSYAHPP30GQECB6G3KA&pd_rd_wg=PvJfz&pd_rd_r=4f046e9a-20ff-4398-8b54-b4b1a28ac094&pd_rd_i=B0B8LQJYWT&th=1	https://m.media-amazon.com/images/I/71fTFbo6T7L._AC_SX522_.jpg	3300	食品・スイーツ	2	2	4	1	4	1	4	1	1	3	1	2	4	3	2	3	4	1	1
2024/03/16 18:54:04	Echo Pop (エコーポップ) - コンパクトスマートスピーカー with Alexa｜グレーシャーホワイト	https://www.amazon.co.jp/dp/B09ZX764ZL/ref=ods_gw_eg_d_h1_ha_chu_mzzkotuyztqt/?_encoding=UTF8&pd_rd_w=EMXJv&content-id=amzn1.sym.c0f6197a-964a-4c5b-a13e-3c383d7a2119&pf_rd_p=c0f6197a-964a-4c5b-a13e-3c383d7a2119&pf_rd_r=X7WXKKXY4FS8X506GQPS&pd_rd_wg=ryinV&pd_rd_r=51d6786d-ecff-4a8d-bc1f-f854fc2b07d9	https://m.media-amazon.com/images/I/61c66Am7zGL._AC_SX569_.jpg	5980	趣味・ライフスタイル雑貨	4	2	5	5	1	1	5	3	1	3	1	1	4	3	4	3	4	2	1
2024/03/16 18:59:53	トンボ(Tombow) 鉛筆 MONO PIT 文具セット5点 アッシュカラー セージ PCC-531BAZ	https://www.amazon.co.jp/%E3%83%88%E3%83%B3%E3%83%9C%E9%89%9B%E7%AD%86-MONO-%E6%96%87%E5%85%B7%E3%82%BB%E3%83%83%E3%83%885%E7%82%B9-%E3%82%A2%E3%83%83%E3%82%B7%E3%83%A5%E3%82%AB%E3%83%A9%E3%83%BC-PCC-531BAZ/dp/B0CBBWHL75/ref=sr_1_6?dib=eyJ2IjoiMSJ9._tTG5aJ95G4DBUxU1uXb3JW3ge1BZW1IA8G1VKYJnCAQYnDkmG5zP59sei_0s8F6QVpMzhFV3yvPJS6dJgSIGR2NBuwJ-Ocglrzpwtojmq0wr8z025ncNXbyN2WLFwC-0ehaDDoHZ1nQODwBB-K0P3A7gKhv7wkzWCiG-zkwjTmJC-xcZt9vKOoPzkrE5_xlNg1lg58v3xvZpCu6iEZV0-1m0W8eOBCLgYgs9CdqG2Q1ETpeItJ5LQlCzbmnSzsB14CwxQPmoMm4tR7IDOZtrt4rR0_Ky_GubtM9Sj52AXY.t_XvqjLdfZfMykAajAWbBy_JeTSwsB44kiABLe2oZqc&dib_tag=se&keywords=%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%2B%E6%96%87%E6%88%BF%E5%85%B7&qid=1710582906&sr=8-6&th=1	https://m.media-amazon.com/images/I/51lU+IBrJhL._AC_SX522_.jpg	968	趣味・ライフスタイル雑貨	4	4	5	4	1	1	3	1	1	1	1	1	4	3	1	4	4	1	1
2024/03/16 19:53:51	モバイルバッテリー 大容量 22800mAh【2024初登場 PD22.5W/20W急速充電 & PD3.0対応】 スマホ充電器 携帯 LEDライト付き コンパクト＆軽量 小型 3台同時充電 2Way蓄電 LCD電量残量表示 Type-C入/出力兼用 安全設計 回路保護 PSE機内持ち込み可能 旅行/出張/アウトドア/停電対策/防災 iPad/iPhone/Android各種充電対応 (ブラック)	https://www.amazon.co.jp/%E3%83%A2%E3%83%90%E3%82%A4%E3%83%AB%E3%83%90%E3%83%83%E3%83%86%E3%83%AA%E3%83%BC-22800mAh%E3%80%902024%E5%88%9D%E7%99%BB%E5%A0%B4-LCD%E9%9B%BB%E9%87%8F%E6%AE%8B%E9%87%8F%E8%A1%A8%E7%A4%BA-PSE%E6%A9%9F%E5%86%85%E6%8C%81%E3%81%A1%E8%BE%BC%E3%81%BF%E5%8F%AF%E8%83%BD-Android%E5%90%84%E7%A8%AE%E5%85%85%E9%9B%BB%E5%AF%BE%E5%BF%9C/dp/B0CPDZMVFS/ref=sr_1_1_sspa?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=3RXUKH12ILORZ&dib=eyJ2IjoiMSJ9.zzZupZmuE8fwZqqObj2iZ7-y3PRLq4BNEscTl0iYieyahKXbXsZ_h6SHqimG4aVVFG0pAFcfGk-5QYClRGlFiYVNOLzLSu5Gaw1Imybpk_g_dkv8Jq2bH1Yjr1shAxADwF69SJGMxo86fc9ZYOY8TbH1imvJSG8XKPh4qTWZXjmPBTk7lKIRhJbja1xLLXEnHX0tyw_IKM8cv5FzhmLgriBqY-TeqGIGqo8iAFhc55hyMQKTzXKVWd88_Yd9GtxtMq70xnTP59mVB7QllkMyB65uMu7Kv_GaFb_f_NXUFPA.-HV4Sc21NLQscfvrZqvm-Jv7ZtSFTECGBIU0oE7zumo&dib_tag=se&keywords=%E3%83%A2%E3%83%90%E3%82%A4%E3%83%AB%E3%83%90%E3%83%83%E3%83%86%E3%83%AA%E3%83%BC&qid=1710586103&sprefix=%E3%83%A2%E3%83%90%E3%82%A4%E3%83%AB%E3%83%90%E3%83%83%E3%83%86%E3%83%AA%2Caps%2C210&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1	https://m.media-amazon.com/images/I/61GrFf2j4EL._AC_SX679_.jpg	2541	趣味・ライフスタイル雑貨	5	1	5	5	1	1	5	1	1	1	1	1	1	3	4	1	5	1	1
2024/03/16 19:55:43	rom&nd(ロムアンド) 【正規品】リキッドグリッターシャドウ(#01スターダスト) アイシャドウ 2g	https://www.amazon.co.jp/rom-%E3%83%AD%E3%83%A0%E3%82%A2%E3%83%B3%E3%83%89-%E3%80%90%E6%AD%A3%E8%A6%8F%E5%93%81%E3%80%91%E3%83%AA%E3%82%AD%E3%83%83%E3%83%89%E3%82%B0%E3%83%AA%E3%83%83%E3%82%BF%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%89%E3%82%A6-01%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%80%E3%82%B9%E3%83%88-%E3%82%A2%E3%82%A4%E3%82%B7%E3%83%A3%E3%83%89%E3%82%A6/dp/B086TB829S/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=1S2SL6W9DYE5A&dib=eyJ2IjoiMSJ9.FjTDDgGKGfr-YAfKl_Nt33S1TTtqGxKSzFD8TVPGdMZ0Mvqg-AKNjOous7dW4yMhztoJImddohGbyBN4VERIHHbWWfIg88jci3FWahOPU7ldF2BCyJZWwISnMmmx4nJtTzHJ1_SSDYfd2MMzmiamwszrX5cjKlSeq3piHvJfsEomMv8kg-2dafl8CW0EnZeZHxygdmrtEkRAcQmmppOITLGfiXNfOnI1VBu2VW57F19-B4b9ViqTLmtImxt4BlmwLQRohc8HcaB0y28gc7IglLQyZ4wqAL5-ugD9qTM0FGI.QxpBSlHEWEsnn8xo3ZllEY0uhtntprORT5JwzP15fM4&dib_tag=se&keywords=%E3%82%B0%E3%83%AA%E3%83%83%E3%82%BF%E3%83%BC&qid=1710586454&sprefix=%E3%82%B0%E3%83%AA%E3%83%83%E3%82%BF%E3%83%BC%2Caps%2C193&sr=8-5&th=1	https://m.media-amazon.com/images/I/51cvKWy0pYL._AC_SY879_.jpg	1100	コスメ・ビューティー	1	5	1	1	2	5	4	5	1	1	1	1	1	1	2	3	3	1	1
2024/03/16 19:58:03	ベルーナグルメ バレンタイン チョコ お菓子 ギフト チョコレート プレゼント モロゾフ マーガレージュ	https://www.amazon.co.jp/%E3%83%99%E3%83%AB%E3%83%BC%E3%83%8A%E3%82%B0%E3%83%AB%E3%83%A1-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E3%83%87%E3%83%BC-%E3%83%81%E3%83%A7%E3%82%B3%E3%83%AC%E3%83%BC%E3%83%88-%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88-%E3%83%9E%E3%83%BC%E3%82%AC%E3%83%AC%E3%83%BC%E3%82%B8%E3%83%A5/dp/B0CL99SMZJ/ref=sr_1_20_sspa?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=354D9IGRF4G7Q&dib=eyJ2IjoiMSJ9.G4k3RKM3r-hj9RHb09TGkNF4wurH1_B5aqlRw-Fd5jcrDRObV4EJV20lWCN8Y9U3GT3m5Su21Rghoe5w4pYI5ta3GYvONjX-QKZ6MM1Bve2mIoMFpK63BMWM6R0zOyF-qWkdjhLRF0UvxPDGB_o1-FFbNOnSiO4bN8PuQkpdQsMPCG5NendxCAvjvIkVg-XewIuKmUk-Jpr-o1UMqC8nvMGeoVLJpcnlOS5WKfEahzkKsRKGwR7CDH2h9wPftVs3wjD60rn2EQu17q71WuhKWUPRwBiYN9OYVjGsJ2BMDo8.6Kp8X5eeAz6xayvWa5hLL2NylIb5AN8gMR14yewv5To&dib_tag=se&keywords=%E3%81%8A%E8%8F%93%E5%AD%90+%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88&qid=1710586606&sprefix=%E3%81%8A%E8%8F%93%E5%AD%90+%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%2Caps%2C176&sr=8-20-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1	https://m.media-amazon.com/images/I/71KjdluggrL._AC_SX679_.jpg	1290	食品・スイーツ	1	5	1	1	3	1	1	1	1	4	1	1	1	3	2	2	5	1	1
2024/03/16 19:59:40	POPUBAY ホットアイマスク USB 電熱式ヒーター 安眠目元美顔器 温冷両用アイマスク タイマー設定 温度調節 蒸気 遮光 軽量 旅行 かわいい快眠グッズ 父の日 恋人 母 誕生日プレゼント 日語説明書 ギフトケース包装 (グレー)	https://www.amazon.co.jp/POPUBAY-%E3%83%9B%E3%83%83%E3%83%88%E3%82%A2%E3%82%A4%E3%83%9E%E3%82%B9%E3%82%AF-%E6%B8%A9%E5%86%B7%E4%B8%A1%E7%94%A8%E3%82%A2%E3%82%A4%E3%83%9E%E3%82%B9%E3%82%AF-%E3%81%8B%E3%82%8F%E3%81%84%E3%81%84%E5%BF%AB%E7%9C%A0%E3%82%B0%E3%83%83%E3%82%BA-%E8%AA%95%E7%94%9F%E6%97%A5%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88/dp/B09JK4K8MZ/ref=sr_1_8?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=2JYFQ6M8NSGLD&dib=eyJ2IjoiMSJ9.rF6iEcpRxX-Ds4BqxO8mmyl1axiZy2ZNsC6zohBcWJvmtdk_LFcKV0TxDMzi8I-tEmX1d7Wos2wy055p_DyVR5aY6MxASCvePICl3xGj41TiS1YuqK8xMwep9lrfmx6KUr_g-o_a3H6vEGl1krsV-pwgdO6-qSIX0MfZ_SunuET11wTsL3duWU8NQB0bymqtqj9h4SZjKwqVAmilPKvfFGA_tUt_s7nPxP70WL4mJ1nRaM3ZxWJH3T_9z5AhCs2i32K8ezGU6tPghOAzg95H2lBZ1FFo79XpuF7aloau1fM.HBilYS4QUg5WpDlSIuTbGs8SZsmaAu1RpZbeamsX9ac&dib_tag=se&keywords=%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88&qid=1710586692&sprefix=%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%2Caps%2C235&sr=8-8	https://m.media-amazon.com/images/I/61brDB-9-VL._AC_SL1000_.jpg	2718	趣味・ライフスタイル雑貨	1	5	5	1	4	1	1	1	5	3	1	5	5	2	2	3	5	5	1
